Age,Job,Years_of_programming,Years_of_machine_learning,Company_size,Yearly_compensation,Bachelor’s degree,Doctoral degree,Master’s degree,No formal education past high school,Professional degree,Professional doctorate,Some college/university study without earning a bachelor’s degree,Bash,C,C#,C++,Go,Java,Javascript,Julia,MATLAB,PHP,Python,R,SQL,Swift,IntelliJ,Jupyter,Notepad++,PyCharm,RStudio,Spyder,Sublime Text,Vim / Emacs,Visual Studio,Visual Studio Code,Cloud-certification programs,Coursera,DataCamp,Fast.ai,Kaggle Learn Courses,LinkedIn Learning,Udacity,Udemy,University Courses,edX,Autoencoder Networks,Bayesian Approaches,Convolutional Neural Networks,Decision Trees or Random Forests,Dense Neural Networks,Evolutionary Approaches,Generative Adversarial Networks,Gradient Boosting Machines,Graph Neural Networks,Linear or Logistic Regression,Recurrent Neural Networks,Transformer Networks,Analyze and understand data to influence product or business decisions,Build and/or run the data infrastructure that my business uses for storing,Experimentation and iteration to improve existing ML models,MachineLearningEngineer,None of these activities are an important part of my role at work
0.2549019607843137,0,0.3157894736842105,0.10526315789473684,0.060144346431435444,0.13706853426713358,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0
0.3529411764705882,0,0.3157894736842105,0.05263157894736842,0.5488171611868484,0.07453726863431716,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0.2549019607843137,0,0.0,0.0,0.012530072173215718,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
0.6470588235294117,4,1.0,0.0,0.012530072173215718,0.17458729364682343,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.2549019607843137,4,0.736842105263158,0.3157894736842105,0.0,0.06453226613306653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
0.1568627450980392,2,0.15789473684210525,0.0,0.012530072173215718,0.012006003001500752,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0
0.3529411764705882,1,0.3157894736842105,0.15789473684210525,0.5488171611868484,0.017008504252126064,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0
0.0784313725490196,0,0.15789473684210525,0.0,0.5488171611868484,0.00400200100050025,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
0.0,0,0.15789473684210525,0.05263157894736842,0.0,0.49974987493746875,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
0.1568627450980392,1,0.3157894736842105,0.05263157894736842,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.0784313725490196,4,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
